"","ID","adj.P.Val","P.Value","t","B","logFC","SPOT_ID"
"12608_at","12608_at",0.01730364564958,4.00547352999538e-05,5.00418325764467,2.21046581173615,0.0994418492365448,12608
"16194_at","16194_at",0.025079117807422,5.99262074251422e-05,4.84617697940842,1.84797457903438,0.152179321667672,16194
"53376_at","53376_at",0.0253896559830504,6.25641164456887e-05,4.82929969308247,1.80918795808698,0.606173631197104,53376
"11997_at","11997_at",0.0257823860338549,6.54570732639686e-05,4.81159304775078,1.76848342262771,0.481526912482166,11997
"20509_at","20509_at",0.0299860549473667,7.83685725177594e-05,4.74110005641919,1.60632313327168,0.157657756308755,20509
"75600_at","75600_at",0.0307096032099666,8.25526968009854e-05,4.72074005536319,1.5594588310194,0.24490934670322,75600
"70737_at","70737_at",0.0324913806131977,9.03906593070032e-05,-4.68524113618891,1.47772208577309,-0.211034931757647,70737
"64540_at","64540_at",0.0324913806131977,9.44996529953463e-05,4.66784491007887,1.43765631920391,0.118253696933213,64540
"18188_at","18188_at",0.0324913806131977,9.7683191682936e-05,4.65487995711001,1.40779227826509,0.181765746585584,18188
"20503_at","20503_at",0.0324913806131977,0.000100763515087422,4.6427319755288,1.37980718950755,0.133983394249346,20503
"214804_at","214804_at",0.0324913806131977,0.000101084141952437,4.64148893774593,1.37694347637667,0.183839235567138,214804
"229599_at","229599_at",0.0324913806131977,0.000101899491170423,4.63834560769261,1.36970174689545,0.786336363290341,229599
"12125_at","12125_at",0.0333288606037512,0.000107379489003843,4.6178507018994,1.32248083081351,0.194315080757373,12125
"215160_at","215160_at",0.0333288606037512,0.000109503424922719,4.61018752737538,1.30482301927107,0.165268698151401,215160
"110960_at","110960_at",0.0351856034334618,0.000118231194332869,-4.58018522072323,1.23568334220785,-0.143263352336762,110960
"12741_at","12741_at",0.03708542191679,0.000127384215066632,-4.55101282953713,1.16844777130673,-0.171303278019883,12741
"104175_at","104175_at",0.0379406752174529,0.000134752574311066,4.52901261568255,1.11773884853272,0.231339554709356,104175
"59027_at","59027_at",0.0379406752174529,0.000135988083216677,4.52544175284129,1.109508083823,0.178378813579263,59027
"217082_at","217082_at",0.038480830126046,0.000142249851356258,4.50782843186065,1.06890935572556,0.147743136668363,217082
"223775_at","223775_at",0.038480830126046,0.000145039014491817,4.50023095093009,1.05139707296403,0.143855713384943,223775
"20387_at","20387_at",0.038480830126046,0.000146544379960301,4.49619085941633,1.04208462533595,0.227701443605368,20387
"71137_at","71137_at",0.0387213463115501,0.000150969778202603,-4.48454970744788,1.01525179992637,-0.42948039263691,71137
"22390_at","22390_at",0.0387213463115501,0.000153243082027491,4.47870152810526,1.00177188635443,0.425582163644171,22390
"20620_at","20620_at",0.0389046048403483,0.000157211142066384,-4.46869805993109,0.978714421965881,-0.151574692507218,20620
"21685_at","21685_at",0.0389046048403483,0.000160554939349448,4.46046214679101,0.959731434628449,0.278075302362226,21685
"69571_at","69571_at",0.0389046048403483,0.000162683532785208,4.45530804741051,0.947851931467442,0.281892592799874,69571
"71145_at","71145_at",0.0395679621807625,0.000168412025410951,-4.4417646486176,0.916637113840936,-0.260125050056984,71145
"22329_at","22329_at",0.0403603668810778,0.000174798482609208,4.42719729358848,0.883064028068428,0.13268307539206,22329
"12274_at","12274_at",0.0408120747365604,0.000179802300586698,-4.41615000091705,0.85760501787206,-0.13598663919009,12274
"244152_at","244152_at",0.0413107379701862,0.000189663394081357,4.39524901814538,0.809441872401806,0.274191804953293,244152
"76866_at","76866_at",0.0413107379701862,0.000194590323480807,4.38520876106285,0.786307861625737,0.18839303257497,76866
"216551_at","216551_at",0.0413107379701862,0.000199672906971666,-4.37511343199539,0.763048618682014,-0.269749649230909,216551
"277753_at","277753_at",0.0413107379701862,0.000201372105032841,-4.37179543264153,0.755404466240891,-0.225818875919141,277753
"242484_at","242484_at",0.0413107379701862,0.000201401864339614,-4.3717375710222,0.755271163870322,-0.107777634798348,242484
"13120_at","13120_at",0.0413107379701862,0.000203896651326407,-4.36691695625742,0.74416558443649,-0.11983252681846,13120
"66866_at","66866_at",0.0413107379701862,0.000205118756563533,4.36457692012247,0.738774841001194,0.149148419129958,66866
"13170_at","13170_at",0.0413107379701862,0.000207540700901514,4.35998024967097,0.728185795812062,0.490910796047928,13170
"22156_at","22156_at",0.0413107379701862,0.000209761811676573,-4.35581148883298,0.718582861244387,-0.162249593176134,22156
"16175_at","16175_at",0.0422833514447621,0.000217857769540665,-4.34097995868628,0.684420704487234,-0.273974531899253,16175
"21873_at","21873_at",0.0464903258695371,0.000245672212021234,-4.29390591020124,0.576028139271151,-0.12630054324773,21873
"76954_at","76954_at",0.0464903258695371,0.000247439206449466,-4.29109733658113,0.569563043617566,-0.208289518120151,76954
